PeakID (cmd=annotatePeaks.pl top_1000_peaks_GREAT_noheader.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-194	chr10	103367851	103368145	+	1000	NA	promoter-TSS (NM_006951)	promoter-TSS (NM_006951)	22	NM_139052	6877	Hs.96103	NM_006951	ENSG00000148835	TAF5	TAF(II)100|TAF2D|TAFII-100|TAFII100	TATA-box binding protein associated factor 5	protein-coding
1-862	chr1	111449341	111449605	+	1000	NA	promoter-TSS (NM_001317062)	promoter-TSS (NM_001317062)	9	NM_001688	515	Hs.514870	NM_001688	ENSG00000116459	ATP5PB	ATP5F1|PIG47	ATP synthase peripheral stalk-membrane subunit b	protein-coding
1-34	chr19	51904887	51905236	+	1000	NA	promoter-TSS (NM_023074)	promoter-TSS (NM_023074)	-44	NM_023074	65251	Hs.148322	NM_023074	ENSG00000198093	ZNF649	-	zinc finger protein 649	protein-coding
1-352	chrX	989882	990373	+	1000	NA	Intergenic	LTR9|LTR|ERV1	222522	NM_022148	64109	Hs.287729	NM_022148	ENSG00000205755	CRLF2	CRL2|CRLF2Y|TSLPR	cytokine receptor like factor 2	protein-coding
1-971	chr1	86913955	86914212	+	1000	NA	promoter-TSS (NM_004261)	promoter-TSS (NM_004261)	43	NM_004261	9403	Hs.362728	NM_004261	ENSG00000183291	SELENOF	SEP15	selenoprotein F	protein-coding
1-591	chrX	47482570	47482852	+	1000	NA	promoter-TSS (NR_126059)	promoter-TSS (NR_126059)	-5	NR_126059	203414	Hs.597617	NR_126059		LINC01560	CXorf24	long intergenic non-protein coding RNA 1560	ncRNA
1-463	chr17	2336274	2336554	+	1000	NA	exon (NM_018128, exon 1 of 15)	exon (NM_018128, exon 1 of 15)	970	NM_018128	55720	Hs.388170	NM_018128	ENSG00000167721	TSR1	-	TSR1 ribosome maturation factor	protein-coding
1-471	chr2	112584244	112584618	+	1000	NA	promoter-TSS (NM_001304354)	promoter-TSS (NM_001304354)	-16	NR_163920								
1-833	chr16	30922480	30923540	+	1000	NA	promoter-TSS (NM_001282351)	promoter-TSS (NM_001282351)	-45	NM_001282351	54620	Hs.152149	NM_019085	ENSG00000099364	FBXL19	CXXC11|Fbl19|JHDM1C	F-box and leucine rich repeat protein 19	protein-coding
1-210	chr2	64524037	64524308	+	1000	NA	promoter-TSS (NM_203437)	promoter-TSS (NM_203437)	-17	NR_136167	101927402	Hs.187018	NR_136167	ENSG00000260101	LOC101927402	-	uncharacterized LOC101927402	ncRNA
1-588	chr8	123274107	123274394	+	1000	NA	promoter-TSS (NR_037874)	promoter-TSS (NR_037874)	36	NR_037874	11244	Hs.521800	NM_007222	ENSG00000165156	ZHX1	-	zinc fingers and homeoboxes 1	protein-coding
1-528	chr16	2752105	2752407	+	1000	NA	promoter-TSS (NM_016333)	promoter-TSS (NM_016333)	344	NR_027275	100128788	Hs.311208	NR_027274	ENSG00000205913	SRRM2-AS1	-	SRRM2 antisense RNA 1	ncRNA
1-497	chr8	94553308	94553576	+	1000	NA	promoter-TSS (NM_183009)	promoter-TSS (NM_183009)	27	NM_015496	25962	Hs.202238	NM_015496	ENSG00000164944	VIRMA	KIAA1429|MSTP054|fSAP121	vir like m6A methyltransferase associated	protein-coding
1-601	chr11	68213154	68213438	+	1000	NA	promoter-TSS (NM_017635)	promoter-TSS (NM_017635)	0	NM_001369429	51111	Hs.632120	NM_016028	ENSG00000110066	KMT5B	CGI-85|CGI85|MRD51|SUV420H1	lysine methyltransferase 5B	protein-coding
1-31	chr5	148383689	148384008	+	1000	NA	promoter-TSS (NM_030793)	promoter-TSS (NM_030793)	2	NR_105057	102546294	Hs.660461	NR_105057	ENSG00000247199	LOC102546294	-	uncharacterized LOC102546294	ncRNA
1-361	chr19	12734494	12734788	+	1000	NA	promoter-TSS (NM_024038)	promoter-TSS (NM_024038)	43	NR_138095	79002	Hs.515155	NM_024038	ENSG00000123144	TRIR	C19orf43|TERCIR|fSAP18	telomerase RNA component interacting RNase	protein-coding
1-802	chr2	27628941	27629215	+	1000	NA	promoter-TSS (NM_001142683)	promoter-TSS (NM_001142683)	28	NM_007266	11321	Hs.18259	NM_007266	ENSG00000198522	GPN1	ATPBD1A|MBDIN|NTPBP|RPAP4|XAB1	GPN-loop GTPase 1	protein-coding
1-554	chr12	95858825	95859108	+	1000	NA	promoter-TSS (NR_135014)	promoter-TSS (NR_135014)	14	NM_003095	6636	Hs.105465	NM_003095	ENSG00000139343	SNRPF	SMF|Sm-F|snRNP-F	small nuclear ribonucleoprotein polypeptide F	protein-coding
1-370	chr15	67542471	67542771	+	1000	NA	promoter-TSS (NM_145160)	promoter-TSS (NM_145160)	-82	NM_002757	5607	Hs.114198	NM_002757	ENSG00000137764	MAP2K5	HsT17454|MAPKK5|MEK5|PRKMK5	mitogen-activated protein kinase kinase 5	protein-coding
1-929	chr19	18521892	18522166	+	1000	NA	promoter-TSS (NM_006532)	promoter-TSS (NM_006532)	41	NM_006532	8178	Hs.515260	NM_006532	ENSG00000105656	ELL	C19orf17|ELL1|MEN|PPP1R68	elongation factor for RNA polymerase II	protein-coding
1-170	chr2	231662347	231662710	+	1000	NA	Intergenic	CpG	-45997	NM_002823	5757	Hs.459927	NM_002823	ENSG00000187514	PTMA	TMSA	prothymosin alpha	protein-coding
1-716	chr2	15561162	15561438	+	1000	NA	promoter-TSS (NM_015909)	promoter-TSS (NM_015909)	34	NR_052013	51594	Hs.467759	NM_015909	ENSG00000151779	NBAS	ILFS2|NAG|SOPH	neuroblastoma amplified sequence	protein-coding
1-781	chr1	11012521	11012793	+	1000	NA	promoter-TSS (NM_007375)	promoter-TSS (NM_007375)	35	NM_007375	23435	Hs.300624	NM_007375	ENSG00000120948	TARDBP	ALS10|TDP-43	TAR DNA binding protein	protein-coding
1-333	chr12	109477480	109477817	+	1000	NA	promoter-TSS (NM_001317399)	promoter-TSS (NM_001317399)	14	NM_130466	89910	Hs.374067	NM_130466	ENSG00000151148	UBE3B	BPIDS|KOS	ubiquitin protein ligase E3B	protein-coding
1-774	chr12	104064441	104064809	+	1000	NA	promoter-TSS (NM_001316967)	promoter-TSS (NM_001316967)	94	NM_013320	29915	Hs.506558	NM_013320	ENSG00000111727	HCFC2	HCF-2|HCF2	host cell factor C2	protein-coding
1-308	chr2	149587585	149587862	+	1000	NA	promoter-TSS (NM_015702)	promoter-TSS (NM_015702)	52	NM_015702	27249	Hs.5324	NM_015702	ENSG00000168288	MMADHC	C2orf25|CL25022|cblD	metabolism of cobalamin associated D	protein-coding
1-691	chr17	4967614	4968036	+	1000	NA	promoter-TSS (NM_004890)	promoter-TSS (NM_004890)	-8	NM_004890	9552	Hs.90436	NM_004890	ENSG00000091640	SPAG7	ACRP|FSA-1	sperm associated antigen 7	protein-coding
1-201	chr19	4791419	4791906	+	1000	NA	promoter-TSS (NM_018708)	promoter-TSS (NM_018708)	-72	NM_018708	55527	Hs.515082	NM_018708	ENSG00000141965	FEM1A	EPRAP	fem-1 homolog A	protein-coding
1-162	chr2	32627983	32628284	+	1000	NA	promoter-TSS (NM_001193509)	promoter-TSS (NM_001193509)	83	NM_001193509	55622	Hs.468125	NM_017735	ENSG00000018699	TTC27	-	tetratricopeptide repeat domain 27	protein-coding
1-881	chr5	146447229	146447523	+	1000	NA	promoter-TSS (NM_001040006)	promoter-TSS (NM_001040006)	43	NM_001040006	10915	Hs.443465	NM_006706	ENSG00000113649	TCERG1	CA150|TAF2S|Urn1	transcription elongation regulator 1	protein-coding
1-313	chr19	3500517	3500791	+	1000	NA	promoter-TSS (NM_031304)	promoter-TSS (NM_031304)	20	NM_031304	83475	Hs.515064	NM_031304	ENSG00000129932	DOHH	HLRC1|hDOHH	deoxyhypusine hydroxylase	protein-coding
1-209	chr7	75073590	75073954	+	1000	NA	promoter-TSS (NM_001363447)	promoter-TSS (NM_001363447)	30	NM_001363447	81554	Hs.529623	NM_030798	ENSG00000274523	RCC1L	WBSCR16	RCC1 like	protein-coding
1-569	chr9	137205507	137205780	+	1000	NA	promoter-TSS (NM_053045)	promoter-TSS (NM_053045)	5	NM_053045	94107	Hs.231029	NM_053045	ENSG00000187713	TMEM203	HBEBP1	transmembrane protein 203	protein-coding
1-10	chr19	51570932	51571341	+	1000	NA	promoter-TSS (NR_136208)	promoter-TSS (NR_136208)	-147	NR_136208	7728	Hs.119014	NM_007147	ENSG00000105497	ZNF175	OTK18	zinc finger protein 175	protein-coding
1-76	chr20	5750156	5750518	+	1000	NA	promoter-TSS (NM_001303477)	promoter-TSS (NM_001303477)	-50	NM_001303478	149840	Hs.529340	NM_152504	ENSG00000171984	SHLD1	C20orf196|RINN3	shieldin complex subunit 1	protein-coding
1-744	chr11	47848162	47848454	+	1000	NA	promoter-TSS (NR_134636)	promoter-TSS (NR_134636)	42	NR_134636	23279	Hs.643526	NM_015231	ENSG00000030066	NUP160	NPHS19	nucleoporin 160	protein-coding
1-758	chr20	35454825	35455168	+	1000	NA	promoter-TSS (NR_031620)	promoter-TSS (NR_031620)	-247	NM_001319138	8200	Hs.1573	NM_000557	ENSG00000125965	GDF5	BDA1C|BMP-14|BMP14|CDMP1|LAP-4|LAP4|OS5|SYM1B|SYNS2	growth differentiation factor 5	protein-coding
1-365	chr5	173144408	173144691	+	1000	NA	promoter-TSS (NM_001205)	promoter-TSS (NM_001205)	18	NM_013978	662	Hs.145726	NM_001205	ENSG00000113734	BNIP1	NIP1|SEC20|TRG-8	BCL2 interacting protein 1	protein-coding
1-902	chr16	69339410	69339688	+	1000	NA	promoter-TSS (NM_001199434)	promoter-TSS (NM_001199434)	37	NM_001199434	51388	Hs.585728	NM_016101	ENSG00000132603	NIP7	CGI-37|HSPC031|KD93	nucleolar pre-rRNA processing protein NIP7	protein-coding
1-951	chr1	160262271	160262558	+	1000	NA	promoter-TSS (NR_028106)	promoter-TSS (NR_028106)	73	NR_028106	50717	Hs.632447	NM_015726	ENSG00000132716	DCAF8	GAN2|H326|WDR42A	DDB1 and CUL4 associated factor 8	protein-coding
1-362	chr6	73461639	73461915	+	1000	NA	promoter-TSS (NM_012123)	promoter-TSS (NM_012123)	40	NM_133645	25821	Hs.347614	NM_012123	ENSG00000135297	MTO1	CGI-02|COXPD10	mitochondrial tRNA translation optimization 1	protein-coding
1-532	chr14	99481303	99481578	+	1000	NA	promoter-TSS (NM_001099402)	promoter-TSS (NM_001099402)	31	NM_001099402	8812	Hs.510409	NM_003858	ENSG00000090061	CCNK	CPR4|IDDHDF	cyclin K	protein-coding
1-968	chr9	34178933	34179222	+	1000	NA	promoter-TSS (NM_001171204)	promoter-TSS (NM_001171204)	34	NM_001171204	51271	Hs.268963	NM_016525	ENSG00000165006	UBAP1	NAG20|SPG80|UAP|UBAP|UBAP-1	ubiquitin associated protein 1	protein-coding
1-827	chr11	73787747	73788178	+	1000	NA	promoter-TSS (NR_134661)	promoter-TSS (NR_134661)	88	NM_001318498	51642	Hs.503239	NM_016055	ENSG00000175581	MRPL48	CGI-118|HSPC290|L48MT|MRP-L48	mitochondrial ribosomal protein L48	protein-coding
1-355	chr1	36385903	36386275	+	1000	NA	promoter-TSS (NM_001282547)	promoter-TSS (NM_001282547)	-165	NM_001282546	83931	Hs.471768	NM_032017	ENSG00000196182	STK40	SHIK|SgK495	serine/threonine kinase 40	protein-coding
1-895	chr12	100142672	100142953	+	1000	NA	promoter-TSS (NM_015054)	promoter-TSS (NM_015054)	62	NM_015054	23074	Hs.572154	NM_015054	ENSG00000111647	UHRF1BP1L	SHIP164	UHRF1 binding protein 1 like	protein-coding
1-844	chr11	123062560	123062860	+	1000	NA	promoter-TSS (NM_153201)	promoter-TSS (NM_153201)	-574	NM_153201	3312	Hs.180414	NM_006597	ENSG00000109971	HSPA8	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	heat shock protein family A (Hsp70) member 8	protein-coding
1-94	chr12	101280001	101280311	+	1000	NA	promoter-TSS (NM_014503)	promoter-TSS (NM_014503)	51	NM_014503	27340	Hs.295732	NM_014503	ENSG00000120800	UTP20	1A6/DRIM|DRIM	UTP20 small subunit processome component	protein-coding
1-821	chr1	1574468	1574772	+	1000	NA	5' UTR (NM_014188, exon 1 of 5)	5' UTR (NM_014188, exon 1 of 5)	243	NM_014188	29101	Hs.30026	NM_014188	ENSG00000160075	SSU72	HSPC182|PNAS-120	SSU72 homolog, RNA polymerase II CTD phosphatase	protein-coding
1-600	chr17	76103722	76104021	+	1000	NA	promoter-TSS (NM_001145297)	promoter-TSS (NM_001145297)	-84	NM_001145297	23265	Hs.514496	NM_015219	ENSG00000182473	EXOC7	2-5-3p|BLOM4|EX070|EXO70|EXOC1|Exo70p|YJL085W	exocyst complex component 7	protein-coding
1-517	chr22	21567609	21567968	+	1000	NA	promoter-TSS (NM_003347)	promoter-TSS (NM_003347)	74	NM_003347	7332	Hs.108104	NM_003347	ENSG00000185651	UBE2L3	E2-F1|L-UBC|UBCH7|UbcM4	ubiquitin conjugating enzyme E2 L3	protein-coding
1-425	chr14	50116402	50116694	+	1000	NA	promoter-TSS (NM_001040662)	promoter-TSS (NM_001040662)	24	NR_049739	79609	Hs.558541	NM_024558	ENSG00000100483	VCPKMT	C14orf138|METTL21D|VCP-KMT	valosin containing protein lysine methyltransferase	protein-coding
1-812	chr17	39451082	39451368	+	1000	NA	promoter-TSS (NM_004774)	promoter-TSS (NM_004774)	38	NM_004774	5469	Hs.643754	NM_004774	ENSG00000125686	MED1	CRSP1|CRSP200|DRIP205|DRIP230|PBP|PPARBP|PPARGBP|RB18A|TRAP220|TRIP2	mediator complex subunit 1	protein-coding
1-577	chr5	44808838	44809147	+	1000	NA	promoter-TSS (NM_016640)	promoter-TSS (NM_016640)	45	NM_016640	10884	Hs.124165	NM_016640	ENSG00000112996	MRPS30	MRP-S30|PAP|PDCD9|S30mt	mitochondrial ribosomal protein S30	protein-coding
1-657	chr16	75647481	75647765	+	1000	NA	promoter-TSS (NM_005548)	promoter-TSS (NM_005548)	64	NM_001130089	3735	Hs.3100	NM_005548	ENSG00000065427	KARS	CMTRIB|DFNB89|KARS1|KARS2|KRS	lysyl-tRNA synthetase	protein-coding
1-547	chr19	41439687	41440011	+	1000	NA	promoter-TSS (NM_001167869)	promoter-TSS (NM_001167869)	63	NR_030765	55101	Hs.351099	NM_018035	ENSG00000105341	DMAC2	ATP5SL	distal membrane arm assembly complex 2	protein-coding
1-494	chr11	64285328	64285646	+	1000	NA	promoter-TSS (NM_001170880)	promoter-TSS (NM_001170880)	-361	NM_001170880	56834	Hs.523763	NM_020155	ENSG00000173264	GPR137	C11orf4|GPR137A|TM7SF1L1	G protein-coupled receptor 137	protein-coding
1-467	chr12	12813218	12813520	+	1000	NA	promoter-TSS (NM_016355)	promoter-TSS (NM_016355)	23	NM_201224	51202	Hs.719938	NM_016355	ENSG00000213782	DDX47	E4-DBP|HQ0256|MSTP162|RRP3	DEAD-box helicase 47	protein-coding
1-763	chr3	197791165	197791428	+	1000	NA	promoter-TSS (NM_032773)	promoter-TSS (NM_032773)	42	NM_001365719	84859	Hs.518414	NM_032773	ENSG00000186001	LRCH3	-	leucine rich repeats and calponin homology domain containing 3	protein-coding
1-654	chr19	7943489	7943784	+	1000	NA	promoter-TSS (NM_006351)	promoter-TSS (NM_006351)	30	NM_006351	10469	Hs.465784	NM_006351	ENSG00000104980	TIMM44	TIM44	translocase of inner mitochondrial membrane 44	protein-coding
1-616	chr11	45355287	45355539	+	1000	NA	promoter-TSS (NR_120558)	promoter-TSS (NR_120558)	42	NR_120557	101928812	Hs.444059	NR_120557	ENSG00000254427	LINC02696	-	long intergenic non-protein coding RNA 2696	ncRNA
1-872	chr19	54137630	54137921	+	1000	NA	promoter-TSS (NM_014516).2	promoter-TSS (NM_014516).2	13	NM_014516	4849	Hs.343571	NM_014516	ENSG00000088038	CNOT3	LENG2|NOT3|NOT3H	CCR4-NOT transcription complex subunit 3	protein-coding
1-483	chr14	23469589	23469874	+	1000	NA	promoter-TSS (NM_015514)	promoter-TSS (NM_015514)	28	NM_015514	25983	Hs.9043	NM_015514	ENSG00000129460	NGDN	C14orf120|CANu1|LCP5|NGD|lpd-2	neuroguidin	protein-coding
1-531	chr19	39480718	39481000	+	1000	NA	promoter-TSS (NM_001329559)	promoter-TSS (NM_001329559)	21	NM_001001563	92609	Hs.590956	NM_001001563	ENSG00000105197	TIMM50	MGCA9|TIM50|TIM50L	translocase of inner mitochondrial membrane 50	protein-coding
1-908	chr16	31459406	31459720	+	1000	NA	exon (NM_001105247, exon 1 of 6)	exon (NM_001105247, exon 1 of 6)	567	NM_001105247	79798	Hs.732945	NM_024742	ENSG00000140691	ARMC5	AIMAH2	armadillo repeat containing 5	protein-coding
1-297	chr6	5261395	5261698	+	1000	NA	promoter-TSS (NM_001164841)	promoter-TSS (NM_001164841)	33	NM_006567	10667	Hs.484547	NM_006567	ENSG00000145982	FARS2	COXPD14|FARS1|HSPC320|PheRS|SPG77|mtPheRS	phenylalanyl-tRNA synthetase 2, mitochondrial	protein-coding
1-229	chr1	22451747	22452060	+	1000	NA	promoter-TSS (NM_001330398)	promoter-TSS (NM_001330398)	52	NM_001330398	9923	Hs.418966	NM_014870	ENSG00000184677	ZBTB40	ZNF923	zinc finger and BTB domain containing 40	protein-coding
1-5	chr16	87392081	87392393	+	1000	NA	promoter-TSS (NM_022818)	promoter-TSS (NM_022818)	-99	NM_022818	81631	Hs.356061	NM_022818	ENSG00000140941	MAP1LC3B	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	microtubule associated protein 1 light chain 3 beta	protein-coding
1-828	chr6	157323368	157323661	+	1000	NA	5' UTR (NM_018452, exon 1 of 4)	5' UTR (NM_018452, exon 1 of 4)	745	NM_018452	729515	Hs.157212	NM_018452	ENSG00000215712	TMEM242	BM033|C6orf35	transmembrane protein 242	protein-coding
1-597	chr3	53882072	53882342	+	1000	NA	promoter-TSS (NM_022899)	promoter-TSS (NM_022899)	-55	NM_022899	93973	Hs.412186	NM_022899	ENSG00000113812	ACTR8	ARP8|INO80N|hArp8	actin related protein 8	protein-coding
1-871	chr19	39125691	39125971	+	1000	NA	promoter-TSS (NM_001014831)	promoter-TSS (NM_001014831)	45	NM_001014835	10298	Hs.20447	NM_005884	ENSG00000130669	PAK4	-	p21 (RAC1) activated kinase 4	protein-coding
1-221	chr1	156193808	156194118	+	1000	NA	promoter-TSS (NM_001286184)	promoter-TSS (NM_001286184)	31	NR_104408	9673	Hs.532375	NM_014655	ENSG00000160785	SLC25A44	-	solute carrier family 25 member 44	protein-coding
1-817	chr13	52652275	52652593	+	1000	NA	promoter-TSS (NM_006704)	promoter-TSS (NM_006704)	-402	NM_001320831	10910	Hs.281902	NM_006704	ENSG00000165416	SUGT1	SGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	protein-coding
1-692	chr3	124730336	124730633	+	1000	NA	promoter-TSS (NM_000373)	promoter-TSS (NM_000373)	32	NM_000373	7372	Hs.2057	NM_000373	ENSG00000114491	UMPS	OPRT	uridine monophosphate synthetase	protein-coding
1-765	chr2	33529936	33530217	+	1000	NA	intron (NM_015376, intron 9 of 16)	intron (NM_015376, intron 9 of 16)	16201	NM_015376	25780	Hs.143674	NM_015376	ENSG00000152689	RASGRP3	GRP3	RAS guanyl releasing protein 3	protein-coding
1-644	chr1	109483846	109484141	+	1000	NA	promoter-TSS (NM_001350175)	promoter-TSS (NM_001350175)	34	NM_001350177	127002	Hs.118248	NM_153340	ENSG00000162650	ATXN7L2	-	ataxin 7 like 2	protein-coding
1-733	chr6	166999295	166999585	+	1000	NA	promoter-TSS (NM_194429)	promoter-TSS (NM_194429)	43	NM_194429	11116	Hs.487175	NM_007045	ENSG00000213066	FGFR1OP	FOP	FGFR1 oncogene partner	protein-coding
1-983	chr6	31541581	31542084	+	1000	NA	promoter-TSS (NR_003065)	promoter-TSS (NR_003065)	171	NM_004640	7919	Hs.254042	NM_004640	ENSG00000198563	DDX39B	BAT1|D6S81E|UAP56	DExD-box helicase 39B	protein-coding
1-618	chr10	102132934	102133253	+	1000	NA	promoter-TSS (NM_001288727)	promoter-TSS (NM_001288727)	53	NM_001288728	23082	Hs.533551	NM_015062	ENSG00000148840	PPRC1	PRC	PPARG related coactivator 1	protein-coding
1-731	chr20	53940028	53940282	+	1000	NA	Intergenic	Intergenic	-64446	NR_002189	391257	Hs.449977	NR_002189		SUMO1P1	PIC1L|UBL2|UBL6	SUMO1 pseudogene 1	pseudo
1-523	chr3	136250243	136250533	+	1000	NA	promoter-TSS (NM_001178014)	promoter-TSS (NM_001178014)	48	NM_000532	5096	Hs.63788	NM_000532	ENSG00000114054	PCCB	-	propionyl-CoA carboxylase subunit beta	protein-coding
1-803	chr15	41332330	41332673	+	1000	NA	promoter-TSS (NM_007280)	promoter-TSS (NM_007280)	90	NM_007280	11339	Hs.661645	NM_007280	ENSG00000104147	OIP5	5730547N13Rik|CT86|LINT-25|MIS18B|MIS18beta|hMIS18beta	Opa interacting protein 5	protein-coding
1-810	chr22	41833008	41833294	+	1000	NA	promoter-TSS (NM_004599)	promoter-TSS (NM_004599)	46	NM_004599	6721	Hs.443258	NM_004599	ENSG00000198911	SREBF2	SREBP-2|SREBP2|bHLHd2	sterol regulatory element binding transcription factor 2	protein-coding
1-846	chr9	121074839	121075140	+	1000	NA	promoter-TSS (NM_001317163)	promoter-TSS (NM_001317163)	34	NM_001369894	11064	Hs.653263	NM_007018	ENSG00000119397	CNTRL	CEP1|CEP110|FAN|bA165P4.1	centriolin	protein-coding
1-474	chr12	65169459	65169747	+	1000	NA	promoter-TSS (NM_001167614)	promoter-TSS (NM_001167614)	20	NM_014319	23592	Hs.744150	NM_014319	ENSG00000174106	LEMD3	MAN1	LEM domain containing 3	protein-coding
1-552	chr5	133026372	133026647	+	1000	NA	promoter-TSS (NM_001300822)	promoter-TSS (NM_001300822)	40	NM_001308129	54819	Hs.29700	NM_017665	ENSG00000155329	ZCCHC10	-	zinc finger CCHC-type containing 10	protein-coding
1-521	chr17	40219049	40219380	+	1000	NA	promoter-TSS (NM_133264)	promoter-TSS (NM_133264)	-90	NM_133264	147179	Hs.421622	NM_133264	ENSG00000171475	WIPF2	WICH|WIRE	WAS/WASL interacting protein family member 2	protein-coding
1-318	chr12	120528955	120529285	+	1000	NA	promoter-TSS (NM_032314)	promoter-TSS (NM_032314)	38	NM_032314	84274	Hs.17250	NM_032314	ENSG00000110871	COQ5	-	coenzyme Q5, methyltransferase	protein-coding
1-53	chr19	48255824	48256134	+	1000	NA	promoter-TSS (NR_147707)	promoter-TSS (NR_147707)	-33	NM_001351787	22900	Hs.68846	NM_014959	ENSG00000105483	CARD8	CARDINAL|DACAR|DAKAR|NDPP|NDPP1|TUCAN	caspase recruitment domain family member 8	protein-coding
1-980	chr7	134127245	134127505	+	1000	NA	promoter-TSS (NM_001365701)	promoter-TSS (NM_001365701)	35	NM_144648	136332	Hs.149774	NM_144648	ENSG00000155530	LRGUK	CFAP246	leucine rich repeats and guanylate kinase domain containing	protein-coding
1-650	chr11	74949153	74949441	+	1000	NA	promoter-TSS (NM_182969)	promoter-TSS (NM_182969)	31	NM_014752	9789	Hs.282700	NM_014752	ENSG00000118363	SPCS2	-	signal peptidase complex subunit 2	protein-coding
1-725	chr1	26111736	26112008	+	1000	NA	promoter-TSS (NM_001243533)	promoter-TSS (NM_001243533)	48	NM_152835	149420	Hs.468801	NM_152835	ENSG00000175087	PDIK1L	CLIK1L|STK35L2	PDLIM1 interacting kinase 1 like	protein-coding
1-942	chr15	80989583	80989927	+	1000	NA	promoter-TSS (NM_015154)	promoter-TSS (NM_015154)	64	NR_126327	23184	Hs.578450	NM_015154	ENSG00000117899	MESD	BOCA|MESDC2	mesoderm development LRP chaperone	protein-coding
1-700	chr16	2868141	2868424	+	1000	NA	Intergenic	CpG	-10112	NM_022119	64063	Hs.459709	NM_022119	ENSG00000005001	PRSS22	BSSP-4|SP001LA|hBSSP-4	serine protease 22	protein-coding
1-377	chr2	75646662	75646970	+	1000	NA	promoter-TSS (NM_014763)	promoter-TSS (NM_014763)	33	NM_014763	9801	Hs.44024	NM_014763	ENSG00000115364	MRPL19	L19mt|MRP-L15|MRP-L19|MRPL15|RLX1|RPML15	mitochondrial ribosomal protein L19	protein-coding
1-351	chr5	72320035	72320558	+	1000	NA	promoter-TSS (NM_001284403)	promoter-TSS (NM_001284403)	-56	NM_015084	23107	Hs.482491	NM_015084	ENSG00000113048	MRPS27	MRP-S27|S27mt	mitochondrial ribosomal protein S27	protein-coding
1-46	chr22	38181824	38182185	+	1000	NA	promoter-TSS (NM_003560)	promoter-TSS (NM_003560)	-174	NM_001349865	8398	Hs.170479	NM_003560	ENSG00000184381	PLA2G6	CaI-PLA2|GVI|INAD1|IPLA2-VIA|NBIA2|NBIA2A|NBIA2B|PARK14|PLA2|PNPLA9|iPLA2|iPLA2beta	phospholipase A2 group VI	protein-coding
1-779	chr16	970818	971078	+	1000	NA	promoter-TSS (NM_001352021)	promoter-TSS (NM_001352021)	36	NM_001352021	64788	Hs.71912	NM_022773	ENSG00000103227	LMF1	C16orf26|HMFN1876|JFP11|TMEM112|TMEM112A	lipase maturation factor 1	protein-coding
1-869	chr1	9823840	9824092	+	1000	NA	5' UTR (NM_001302883, exon 1 of 18)	5' UTR (NM_001302883, exon 1 of 18)	560	NM_014944	22883	Hs.29665	NM_014944	ENSG00000171603	CLSTN1	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	calsyntenin 1	protein-coding
1-62	chr16	29815845	29816154	+	1000	NA	promoter-TSS (NM_024516)	promoter-TSS (NM_024516)	-153	NM_024516	79447	Hs.702841	NM_024516	ENSG00000280789	PAGR1	C16orf53|GAS|PA1	PAXIP1 associated glutamate rich protein 1	protein-coding
1-512	chr2	95165467	95165771	+	1000	NA	promoter-TSS (NM_001291605)	promoter-TSS (NM_001291605)	-190	NM_001291604	7549	Hs.590916	NM_021088	ENSG00000275111	ZNF2	A1-5|ZNF661|Zfp661	zinc finger protein 2	protein-coding
1-188	chr16	57447356	57447669	+	1000	NA	promoter-TSS (NM_001308347)	promoter-TSS (NM_001308347)	16	NM_001308358	57019	Hs.4900	NM_020313	ENSG00000005194	CIAPIN1	Anamorsin|CIAE2|DRE2|PRO0915	cytokine induced apoptosis inhibitor 1	protein-coding
1-663	chr1	19251368	19251641	+	1000	NA	promoter-TSS (NM_001271429)	promoter-TSS (NM_001271429)	20	NM_015047	23065	Hs.439200	NM_015047	ENSG00000127463	EMC1	CAVIPMR|KIAA0090	ER membrane protein complex subunit 1	protein-coding
1-745	chr7	151080630	151080924	+	1000	NA	promoter-TSS (NM_006712)	promoter-TSS (NM_006712)	32	NM_006712	10922	Hs.647094	NM_006712	ENSG00000164896	FASTK	FAST	Fas activated serine/threonine kinase	protein-coding
1-974	chr6	43687626	43687906	+	1000	NA	promoter-TSS (NM_018135)	promoter-TSS (NM_018135)	46	NM_001193343	55168	Hs.520149	NM_018135	ENSG00000096080	MRPS18A	HumanS18b|MRP-S18-3|MRP-S18-a|MRPS18-3|S18bmt|S18mt-a	mitochondrial ribosomal protein S18A	protein-coding
1-726	chr17	67717819	67718094	+	1000	NA	promoter-TSS (NM_015462)	promoter-TSS (NM_015462)	20	NM_015462	25926	Hs.463936	NM_015462	ENSG00000130935	NOL11	-	nucleolar protein 11	protein-coding
